path	type	lang_tree	template	title	bytes
/PvPI/newsletter1/newsletter1.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	7765
/PvPI/newsletter2/newsletter2.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	7765
/PvPI/newsletter3/newsletter3.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	7765
/PvPI/oi.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	16485
/PvPI/order.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	7005
/PvPI/privacy.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	8684
/PvPI/pub.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	22503
/PvPI/pv_home.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	10392
/PvPI/sitemap.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	9056
/PvPI/tnc.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	7790
/PvPI/toolkit.html	html	en	T9-PvPI-static	Pharmacovigilance Programme of India	110331
/about-us.html	html	en	T2-article-detail	About Us - Indian Pharmacopoeia Commission	58609
/about-us/	html	en	T2-article-detail	About Us - Indian Pharmacopoeia Commission	58605
/about-us/about-ipc.html	html	en	T2-article-detail	About IPC - Indian Pharmacopoeia Commission	57191
/about-us/about-ipc/annual-reports.html	html	en	T2-article-detail	Annual Reports - Indian Pharmacopoeia Commission	59403
/about-us/about-ipc/citizen-charter.html	html	en	T2-article-detail	CITIZEN CHARTER - Indian Pharmacopoeia Commission	55957
/about-us/about-ipc/composition-of-ipc.html	html	en	T2-article-detail	Composition of IPC - Indian Pharmacopoeia Commission	57554
/about-us/about-ipc/composition-of-ipc/8-category-en/276-governing-body.html	html	en	T2-article-detail	Governing Body - Indian Pharmacopoeia Commission	62671
/about-us/about-ipc/composition-of-ipc/8-category-en/277-general-body.html	html	en	T2-article-detail	General Body - Indian Pharmacopoeia Commission	65509
/about-us/about-ipc/composition-of-ipc/8-category-en/280-expert-committees-and-working-groups.html	html	en	T2-article-detail	Expert Committees and Working Groups - Indian Pharmacopoeia Commission	63273
/about-us/about-ipc/composition-of-ipc/8-category-en/csrf.token	html	en	T4-category-list	English Category - Indian Pharmacopoeia Commission	241890
/about-us/about-ipc/composition-of-ipc/8-category-en/system.paths	html	en	T4-category-list	English Category - Indian Pharmacopoeia Commission	241894
/about-us/about-ipc/formation-of-ipc.html	html	en	T2-article-detail	Formation of IPC - Indian Pharmacopoeia Commission	57565
/about-us/about-ipc/indian-pharmacopoeia-laboratory-ipl.html	html	en	T2-article-detail	Indian Pharmacopoeia Laboratory (IPL) - Indian Pharmacopoeia Commission	56436
/about-us/about-ipc/indian-pharmacopoeia-laboratory-ipl/analytical-support-for-skill-development-drug-discovery.html	html	en	T2-article-detail	Analytical Support for skill development &amp; drug discovery - Indian Pharmacopoeia Commission	64306
/about-us/about-ipc/indian-pharmacopoeia-laboratory-ipl/new-drugs-testing.html	html	en	T2-article-detail	New Drugs Testing - Indian Pharmacopoeia Commission	58431
/about-us/about-ipc/ipc-bye-laws.html	html	en	T2-article-detail	IPC BYE LAWS - Indian Pharmacopoeia Commission	56499
/about-us/about-ipc/ipc-bye-laws/8-category-en/1189-recruitment-rules-of-ipc.html	html	en	T2-article-detail	Recruitment Rules of IPC - Indian Pharmacopoeia Commission	56457
/about-us/about-ipc/minutes-of-meeting-mom.html	html	en	T2-article-detail	Minutes of Meeting (MoM) - Indian Pharmacopoeia Commission	63772
/about-us/about-ipc/objectives-of-ipc.html	html	en	T2-article-detail	Mission, Vision and Objectives of IPC - Indian Pharmacopoeia Commission	58069
/about-us/accreditation-certification.html	html	en	T2-article-detail	Accreditation/ Certification - Indian Pharmacopoeia Commission	56265
/about-us/contact-us.html	html	en	T2-article-detail	Contact Us - Indian Pharmacopoeia Commission	56722
/about-us/contact-us/facebook-twitter-youtube.html	html	en	T2-article-detail	Social Media Accounts of IPC - Indian Pharmacopoeia Commission	57389
/about-us/contact-us/route-map-of-ipc.html	html	en	T2-article-detail	Route Map of IPC - Indian Pharmacopoeia Commission	57911
/about-us/departments.html	html	en	T2-article-detail	All Divisions - Indian Pharmacopoeia Commission	55870
/about-us/departments/administration.html	html	en	T2-article-detail	Administration - Indian Pharmacopoeia Commission	56429
/about-us/departments/analytical-research-development-ar-d.html	html	en	T2-article-detail	Analytical Research &amp; Development (AR&amp;D) - Indian Pharmacopoeia Commission	59446
/about-us/departments/analytical-research-development-ar-d/expression-of-interest-eoi-for-verification-testing-of-indian-pharmacopoeia-ip-monographs.html	html	en	T2-article-detail	Expression of Interest (EoI) for Verification/Testing of Indian Pharmacopoeia (IP) Monographs - Indian Pharmacopoeia Commission	57524
/about-us/departments/biologics.html	html	en	T2-article-detail	Biologics - Indian Pharmacopoeia Commission	57634
/about-us/departments/finance-accounting.html	html	en	T2-article-detail	Finance &amp; Accounting - Indian Pharmacopoeia Commission	56398
/about-us/departments/finance-accounting/audit.html	html	en	T2-article-detail	Audit - Indian Pharmacopoeia Commission	56778
/about-us/departments/finance-accounting/budget.html	html	en	T2-article-detail	Budget - Indian Pharmacopoeia Commission	56736
/about-us/departments/finance-accounting/cash-accounts.html	html	en	T2-article-detail	Cash &amp; Accounts - Indian Pharmacopoeia Commission	56856
/about-us/departments/library-information-centre.html	html	en	T9-PvPI-static	Library &amp; Information Division - Indian Pharmacopoeia Commission	22736
/about-us/departments/microbiology.html	html	en	T2-article-detail	Microbiology - Indian Pharmacopoeia Commission	57621
/about-us/departments/pharmacology.html	html	en	T2-article-detail	Pharmacology - Indian Pharmacopoeia Commission	56256
/about-us/departments/phytopharmaceuticals	html	en	T2-article-detail	Phytopharmaceuticals - Indian Pharmacopoeia Commission	66485
/about-us/departments/phytopharmaceuticals.html	html	en	T2-article-detail	Phytopharmaceuticals - Indian Pharmacopoeia Commission	66490
/about-us/departments/publication.html	html	en	T2-article-detail	Publication - Indian Pharmacopoeia Commission	58594
/about-us/departments/quality-assurance.html	html	en	T2-article-detail	Quality Assurance - Indian Pharmacopoeia Commission	56370
/about-us/departments/quality-assurance/accreditation-certification.html	html	en	T2-article-detail	Accreditation &amp; Certification - Indian Pharmacopoeia Commission	56976
/about-us/departments/quality-assurance/expression-of-interest-eoi-form-for-the-testing-laboratories-to-validate-the-ip-reference-substances-iprs.html	html	en	T2-article-detail	Expression of Interest (EOI) form for the testing laboratories to validate the IP Reference Substances (IPRS) - Indian Pharmacopoeia Commission	58119
/about-us/departments/quality-assurance/other-activities.html	html	en	T2-article-detail	Other Activities - Indian Pharmacopoeia Commission	56734
/about-us/departments/quality-assurance/overview-of-quality-assurance-department.html	html	en	T2-article-detail	Quality Manual of the IP Commission - Indian Pharmacopoeia Commission	56828
/about-us/departments/quality-assurance/proficiency-testing-division.html	html	en	T2-article-detail	Proficiency Testing Division - Indian Pharmacopoeia Commission	59767
/about-us/departments/quality-assurance/training-skill-development.html	html	en	T2-article-detail	Training &amp; Skill Development - Indian Pharmacopoeia Commission	56567
